GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
roman-number,it.unipd.mtss,IntegerToRoman,3,153,0,8,1,10,1,5,1,1
roman-number,it.unipd.mtss,RomanPrinter,13,295,2,16,3,29,3,20,1,10
